month,pull_type,pull_amount,user_type
2015-06-15,closed,10,Volunteers
2015-05-15,closed,16,Volunteers
2015-04-15,closed,11,Volunteers
2015-03-15,closed,16,Volunteers
2015-02-15,closed,19,Volunteers
2015-01-15,closed,5,Volunteers
2014-12-15,closed,9,Volunteers
2014-11-15,closed,10,Volunteers
2014-10-15,closed,11,Volunteers
2014-09-15,closed,9,Volunteers
2014-08-15,closed,12,Volunteers
2014-07-15,closed,20,Volunteers
2014-06-15,closed,11,Volunteers
2014-05-15,closed,51,Volunteers
2014-02-15,closed,1,Volunteers
2013-11-15,closed,1,Volunteers
2013-10-15,closed,2,Volunteers
2013-09-15,closed,1,Volunteers
2013-08-15,closed,2,Volunteers
2013-07-15,closed,1,Volunteers
2013-03-15,closed,1,Volunteers
2013-02-15,closed,2,Volunteers
2013-01-15,closed,4,Volunteers
2012-11-15,closed,1,Volunteers
2012-10-15,closed,1,Volunteers
2012-09-15,closed,1,Volunteers
2018-01-15,merged,3,Volunteers
2017-12-15,merged,15,Volunteers
2017-11-15,merged,23,Volunteers
2017-10-15,merged,15,Volunteers
2017-09-15,merged,15,Volunteers
2017-08-15,merged,21,Volunteers
2017-07-15,merged,4,Volunteers
2017-06-15,merged,11,Volunteers
2017-05-15,merged,14,Volunteers
2017-04-15,merged,12,Volunteers
2017-03-15,merged,20,Volunteers
2017-02-15,merged,8,Volunteers
2017-01-15,merged,14,Volunteers
2016-12-15,merged,8,Volunteers
2016-11-15,merged,12,Volunteers
2016-10-15,merged,20,Volunteers
2016-09-15,merged,18,Volunteers
2016-08-15,merged,20,Volunteers
2016-07-15,merged,7,Volunteers
2016-06-15,merged,9,Volunteers
2016-05-15,merged,12,Volunteers
2016-04-15,merged,23,Volunteers
2016-03-15,merged,14,Volunteers
2016-02-15,merged,19,Volunteers
2016-01-15,merged,21,Volunteers
2015-12-15,merged,8,Volunteers
2015-11-15,merged,27,Volunteers
2015-10-15,merged,20,Volunteers
2015-09-15,merged,21,Volunteers
2015-08-15,merged,28,Volunteers
2015-07-15,merged,54,Volunteers
2015-06-15,merged,42,Volunteers
2015-05-15,merged,40,Volunteers
2015-04-15,merged,32,Volunteers
2015-03-15,merged,33,Volunteers
2015-02-15,merged,30,Volunteers
2015-01-15,merged,35,Volunteers
2014-12-15,merged,19,Volunteers
2014-11-15,merged,24,Volunteers
2014-10-15,merged,34,Volunteers
2014-09-15,merged,24,Volunteers
2014-08-15,merged,23,Volunteers
2014-07-15,merged,31,Volunteers
2014-06-15,merged,38,Volunteers
2014-05-15,merged,67,Volunteers
2014-03-15,merged,2,Volunteers
2014-02-15,merged,4,Volunteers
2014-01-15,merged,2,Volunteers
2013-12-15,merged,11,Volunteers
2013-11-15,merged,7,Volunteers
2013-10-15,merged,8,Volunteers
2013-09-15,merged,12,Volunteers
2013-08-15,merged,5,Volunteers
2013-07-15,merged,10,Volunteers
2013-03-15,merged,3,Volunteers
2013-02-15,merged,4,Volunteers
2013-01-15,merged,1,Volunteers
2012-12-15,merged,1,Volunteers
2012-11-15,merged,1,Volunteers
2012-10-15,merged,1,Volunteers
2012-09-15,merged,1,Volunteers
2012-03-15,merged,1,Volunteers
